pmid,regula
10636352,D4
10659528,D4
10665876,D4
10689228,D4
10693087,D4
10697009,D4
10718803,D4
10719545,D4
10723479,D4
10723480,D4
10727361,D4
10727363,D4
10727366,D4
10727367,D4
10728450,D4
10731891,D4
10740379,D4
10744193,D4
10753292,D4
10753687,D4
10759742,D4
10773127,D4
10796952,D4
10801372,D4
10804325,D4
10813174,D4
10823259,D4
10828239,D4
10832299,D4
10836229,D4
10842147,D4
10842964,D4
10847569,D4
10855433,D4
10857310,D4
10868890,D4
10874903,D4
10883131,D4
10895333,D4
10904920,D4
10906300,D4
10906301,D4
10923547,D4
10923548,D4
10925487,D4
10943786,D4
10952455,D4
10955020,D4
10957698,D4
10977028,D4
10977029,D4
10977059,D4
10985877,D4
10986103,D4
10986610,D4
10987161,D4
10989578,D4
10997229,D4
11005529,D4
11011424,D4
11011798,D4
11029863,D4
11052296,D4
11054884,D4
11054894,D4
11062786,D4
11062789,D4
11062793,D4
11068220,D4
11093553,D4
11093554,D4
11093555,D4
11097446,D4
11105347,D4
11107477,D4
11110506,D4
11119015,D4
11121334,D4
11137919,D4
11137932,D4
11140282,D4
11141647,D4
11144062,D4
11147066,D4
11147390,D4
11148907,D4
11188818,D4
11191652,D4
11194246,D4
11194247,D4
11196328,D4
11196331,D4
11199431,D4
11205855,D4
11210615,D4
11210955,D4
11212404,D4
11213868,D4
11216013,D4
11221950,D4
11224635,D4
11227233,D4
11234938,D4
11236425,D4
11237784,D4
11239331,D4
11240527,D4
11241123,D4
11241124,D4
11247023,D4
11249285,D4
11251396,D4
11251677,D4
11253542,D4
11257020,D4
11263656,D4
11265079,D4
11280471,D4
11288237,D4
11296321,D4
11298620,D4
11303250,D4
11305736,D4
11307480,D4
11315817,D4
11315835,D4
11317677,D4
11318845,D4
11319418,D4
11319419,D4
11321999,D4
11331833,D4
11336363,D4
11344807,D4
11347743,D4
11347744,D4
11352518,D4
11370944,D4
11370946,D4
11382565,D4
11386113,D4
11387582,D4
11389429,D4
11403862,D4
11411002,D4
11420351,D4
11421187,D4
11432132,D4
11437864,D4
11447794,D4
11452344,D4
11465249,D4
11472044,D4
